City,Reviewer Name,Review Title,Positive Review,Negative Review
Sharm-ElSheikh,Omer,Very Good,"Excellent room design, nice garden, clean and modern bathroom and building. 10/10 rooms
Also I admired the beach beds and umbrellas. Bravo
Middle garden was breathtaking","Food and wifi. Honestly such a great building should have been complete with food and wifi. Waiters can be nicer and kinder as well.
Wifi is quite limited on rooms and restaurants, it was such a low speed which can only afford WhatsApp texting. If you have a picture that takes 50kb it takes several minutes to download. 
and on the beach no wifi at all."
Sharm-ElSheikh,Takafumi,Good,"When I faced a trouble, Ahmed Ismail, who is front office manager, helped me and solved the problem! Appreciate him.",Wi-fi was really weak and it was not improved even when I asked the front desk. There's no bath robe in the room. Key was not working properly sometime. The room was so far from the front desk and sometimes you lost your way.
Sharm-ElSheikh,Suha,Wonderful,"Location 
View","Food was very bad 
Needs to re-visit kitchen staff
Food quality was bad"
Sharm-ElSheikh,Andreea,Not 5 * hotel!!,"The beach is small but very nice, suitable for children or people that can't swim. The employees trying their best to solve the issues. The minibar filled every day with water, small boxes of juice and waffers.Bed sheets changed 2 times in 7 days","Long lines of people on beach bar, long time of waiting for a car ( 3 cars only for a big resort), mosquitoes in the rooms, the quality of food( most cheap ingredients, cheese, salami...), coffee is a cheap brand of Nescafe, juices are Tang mixed with water, no bathrobe or slippers, clogged pipes for showers, lack of employees, Panorama bar is not inclusive"
Sharm-ElSheikh,Nadine,Ultimately MY FAVORITE SPOT at Sharm! Thanks a lot Tivoli for hosting me so professionally and kind,"Always an exceptional outstanding experience at Tivoli.. there are too many luxurious hotels at Sharm, but by far, Tivoli Resort was the most hospitable to me on a personal level. it's my ""Spot"" now !! Thanks again Tivoli for the good hosting and the great food !",No Negative Review
Sharm-ElSheikh,Youssef,Comfortable hotel,"Location very comfortable 
hotel very quite",No Negative Review
Sharm-ElSheikh,Maria,Exceptional,"My stay in Tivoli was fantastic! Another hotel cancelled on me at the last minute and they welcomed me in a beautiful way. They accompanied me at all times. I would like to thank all the kitchen and cleaning staff, but especially Mousa and Rafat, they made me feel at home.",No Negative Review
Sharm-ElSheikh,Mostafa,Nice treatment,Thank you for all and will amend very nice treatment,No Negative Review
Sharm-ElSheikh,Nadine,Thank you Tivoli for always surprising me with the best service ❤️❤️❤️❤️❤️,"I loved the food, the service, ALL the staff was profeSional. Hotel is super clean and everybody was super nice! My favorite spot in sharm ❤️",No Negative Review
Sharm-ElSheikh,Qiang,very good place,very good place,No Negative Review
Sharm-ElSheikh,Nadine,My FAVORITE spot in town ❤️❤️❤️,"Cleanliness , food and the most professional staff ❤️❤️",No Negative Review
Sharm-ElSheikh,Mohammed,Very Good,Staff are good,No Negative Review
Sharm-ElSheikh,Hamid,VERY KIND TEAM,"THANKS FOR ALL SERVICE
VERY NICE WHEN I WAS SICK EVERYBODY HELPT ME AND CALL DOCTOR AND BRING FOR ME FOOD
THANK YOU AGAIN SPECIALLY MR.MOUSA",No Negative Review
Sharm-ElSheikh,Nadine,By far the BEST experience I had in sharm . Thank you tivoli,"Beautiful experience !! It will be my zone in Sharm :)
The staff was alll very lovely and inviting and kind. Everybody was exceptional they made it feel like home.
Everybody should try the hotel. Thank you Tivoli sharm",No Negative Review
Sharm-ElSheikh,Salem,Exceptional,Ibram and esmtt they are the best,No Negative Review
Sharm-ElSheikh,Ahmed,Exceptional,"I would like to thank Jaz Belvedere staff for their great hospitality. 
Special Thanks goes ti Mr Esmat how follow up with us prior to our travel and also he offer a complementry upgrade for our room to a very special family room.
The resort is wonderful and very clean you will find everywhere the staff is trying to help and offer support.
The food quality and variety is great.
Thanks Jaz Belvedere team for making our trip great and un forgetable.
Wish to come again",I would like to add one improvement point the pool need to be heated more to coup with the temp decrease so the guest can enjoy the pool as the sea was veru cold
Sharm-ElSheikh,Tadić,Amazing,Everyone is nice. Everything is clean,No Negative Review
Sharm-ElSheikh,Vlad,Exceptional,"Very nice hotel,
Staff is amazing 
We will come back",No Negative Review
Sharm-ElSheikh,Mudia,No Title,This review is hidden because it doesn't meet our guidelines.,No Negative Review
Sharm-ElSheikh,Mudia,.,.,.
Sharm-ElSheikh,Maksim,Wonderful,The whole hotel territory is very well maintained. The room was good and clean. The staff is very friendly and really willing to help. Appreciate help from Esmat.,"In case of any questions, ask help from reception."
Sharm-ElSheikh,Tırnavalı,Like heaven…,"Food was great, sea was fantastic. The fish under the water was amazing…",Nothing :)
Sharm-ElSheikh,Khaled,Exceptional,"staff, restaurant, pool and sea",No Negative Review
Sharm-ElSheikh,Philip,Fantastic,"Rooms are fantastic always clean everywhere, staff are all polite and extremely helpful. Couldn’t be more willing to do anything for you. Good food choices all day",All good not applicable
Sharm-ElSheikh,Olga,Exceptional,"This resort is amazing,very friendly staff,especially animation team ,they were great ,so welcoming and full of joy and positive mood.Complete day full of activities to enjoy.Hetel is very clean and well arranged.Food was delicious and many varieties.We had wonderful time and definitely will visit this resort again with great pleasure. Thank you so much Jaz Mirabel, general manager Mr. Ibrahim and the whole team.","All was great,nothing to complain about."
Sharm-ElSheikh,Yara,Wonderful,Thank you so much Mohammed Abdelstar for your warm welcome and excellent service. You’ve made our stay truly memorable.,No Negative Review
Sharm-ElSheikh,Yasser,It was marvelous wish to go back,"The staff were so welcoming and friendly
The food was excellent and diverse
The room was excellent regarding area and cleanliness",The beach was not suitable for access to sea swimming
Sharm-ElSheikh,Ian,Excellent for families and couples,The staff and service was excellent,Nothing
Sharm-ElSheikh,Mohamed,Lovely stay,"Perfect satay receptionist Abdullah and Mr Khalid very kind and co operative 
Also shif Attia very kind and very co operative",Hmmmm
Sharm-ElSheikh,Anastasiia,In short: it was our first time in Egypt and this Hotel brought a lot of joy and good memories!,"Excellent staff! Receptionist team during our stay 4th-11th of November were incredibly helpful, kind, and welcoming throughout our visit. The hotel itself is very big and divided on 3 parts which gives more space for everyone and doesn't make human interaction with each other to tight. Restaurant was very good, a big variety of food every evening and staff there created an unforgettable experience! Room was spacious and comfortable! The seaside area was expansive, with ample space for everyone to enjoy. We loved diving right from our beach to see the sunken boat—a real highlight!The DJ set on the Hotels Disco night was awesome! Definitely will return next time!","The lock on our room door was old and didn't always work properly. However, the animation program could use some improvement. While the staff were friendly, the overall program felt weak, with limited options for activities. We’re hoping to see a more engaging and varied program on our next visit!"
Sharm-ElSheikh,Ali,"Amazing Hotel, had a very enjoyable memorable stay","Checkin checkout was very smooth, staff are always available there to help you with a smile, food and hotel facilities are amazing",Snorkeling spot is a long walk from the beach
Sharm-ElSheikh,Ramy,Flawless,"Spotless clean with expansive, well-maintained green areas, this resort offers a truly welcoming atmosphere with friendly, attentive staff. It features a variety of restaurants serving delicious food of excellent quality, spacious rooms, and an amazing beach perfect for swimming and snorkeling. The multiple pools, including heated ones, are a great touch, and the nightly entertainment is enjoyable. Rooms are well-equipped with convenient amenities, WiFi is available throughout the property, and ample parking is provided.

Highly recommended for anyone looking to relax and unwind.

A special thanks to Ramadan from the main restaurant for his dedication and exceptional care.",Nothing at all.
Sharm-ElSheikh,Aziz,Exceptional,It was more than wonderful an for sure i will go there again soon and there was at reception Abdullah Khaled it was very helpful and cooperative and supportive and wish all the staff will be same as Abdullah,Absolutely nothing
Sharm-ElSheikh,Salar,Great well-rounder,"• Very very clean
• Food is surprisingly good and restaurants open exactly on time
• The staff are very nice
• The view is great",No complains
Sharm-ElSheikh,Patrícia,Exciting to visit again,"We will definitely come back again, great hotel. Beautiful reception and very attentive to your requests. The rooms are beautiful and with a distinctive view. The food is good with delicious and delicious food. We enjoyed the water games. It was a great vacation",No Negative Review
Sharm-ElSheikh,Mandy,The staff was brilliant and well accommodating. They ensured I was happy every step of the way. The manager was very fri,It was a lot of a space and well organised,I like everything I’m well satisfied
Sharm-ElSheikh,מיכאל,Exceptional,We have like the staff and cleaning. There are was a lot of places to get a drink and snacks. As well we appreciate for personal assistance to manager Ahmed Mostafa,Small variations of food especially salads and side dishes
Sharm-ElSheikh,Bashir,Excellent stay. Will come again.,"Everything, was good. 
I have been here many times and they gave late checkout for free. 

Room service was brilliant. Abdelmoneim was excellent. 

Mostafa manager was brilliant",N/a
Sharm-ElSheikh,Predrag,Excelent vacation,Everything,No Negative Review
Sharm-ElSheikh,Serghei,Exceptional,All was perfect.good service.highly reomand!rrception guys were very polity and nice.Big respect to AHMED menedger..The best!!!,No Negative Review
Sharm-ElSheikh,Ken,Exceptional,Perfect hotel for families with small children.,No Negative Review
Sharm-ElSheikh,Murat,Amazing experience of family holiday,"Exceptional service from the very start till the very finish of our stay. Staff was very friendly and helpful, especially Ahmed Mostafa from reception desk. We got early check in and update of booked room type without any charge which was absolutely fantastic touch after the night flight.

Hotel has huge beautiful and very maintained territory. Our room was very clean, and housekeeper Mohammed always managed to clean it when we were out.

Aquapark is awesome, our kids enjoyed it a lot. Great variety of pools and slides suitable for each age, so easy to find perfect ones for kids of any age. 

Service in restaurants was also great. Restaurants were clean and neat which was very important for us.",Children animation might be a little bit more professional.
Sharm-ElSheikh,Dmitrijs,Outstanding!,"We enjoyed every minute of our stay, hotel exceeded our expectations. Spacious room, outstanding service, mountains of water slides and plenty of attractions for kids and parents, evening shows...You can find everything you need for a perfect vacation here! Definately booking same hotel next time in Egypt!
Many thanks for reception staff and Ahmed Mostafa in particular who helped us any time and made our trip even greater! Also many thanks to Mr Abdul who provided spotless cleaning every day!",No Negative Review
Sharm-ElSheikh,Muhammet,Exceptional,Reception and all services are fabolous. Special Thanks to Mr.Ahmed hotel manager for his great hospitality.,Nothing at all
Sharm-ElSheikh,Andreas,Exceptional stat,Best place we stayed. Breakfast by pool and beach. Corals. Spacious room,Maybe little be far from center but that was not priority. It was actually benefit for us.
Sharm-ElSheikh,Dorolisso,Very Good,"The room was really spacious, 
Quite area , nice views
And warm welcome at the reception",No kettle and glasses in the room
Sharm-ElSheikh,Ianina,exceptional choice for a beautiful relaxation,"the location of the property with an open view of the sea,the pool and pet friendliness were the criteria for choosing this property. big rooms ,clean ,good quality for sheets,towels, very good food with good prices and very kind staff are other positives for this location. i want to thank Hawary for the care and kindness offered ,he is a valuable employee to the property. snorkeling site is in front ,few steps to the sea and the pool is really big and nice.","there are details which can be easy fixed in the rooms,1 chair,black out curtains and a better maintenance,but if you are not very picky,it cant spoil your stay there compared to the positive parts. really the wifi is not covering all the areas but you can buy a phone card for internet and you are covered"
Sharm-ElSheikh,Nicola,Gorgeous peaceful place.,The view was astonishing. The staff were all really nice. It was very peaceful. The food was great!,Still some teething issues. Plumbing. The area is under major construction. The sea isn’t easy to access at all. Mosquitos are very bad here.
Sharm-ElSheikh,รื่นเริง,👍🏼,"Of course, the view was perfect nice staff, I’d met Ashraf, overall is nice the staff are well serviced. I hope those family of the black cat growing up well also 😍","Sometimes the food have less choice of the option in the Menu, for the breakfast have only 1 thing out of 3 to choose, so that’s kind of boring if you stay many day with the same menu of food. Hope you prepare it well next time!"
Sharm-ElSheikh,Jukka-pekka,Good,Desent place for The Price. Outside hotel looks nice. Staff was nice.,The hotel room's bathroom is not tidy. the sheets on the bed look dirty. there are no sheets in the blanket. Hard to get to coral reef. No jetty.
Sharm-ElSheikh,Gavin,Very Good,"near the water, quiet, nice staff. i was only there for one night but would have stayed longer if i could",curtains in the room didn't block out light very well. aircon was blowing straight onto me in bed.
Sharm-ElSheikh,Simone,I stayed only one night and wished I had stayed longer.,"Really lovely setup - right by the sea, you can just walk off the beach into a coral reef. The pool area is amazing, chilled coffee house vibes and music. The staff are so friendly and helpful, always with a smile. Breakfast was so yum and filling. I would mention that it's only cash and no atm nearby but they take a lot of currencies.",Shower was leaky.
Sharm-ElSheikh,Denise,The name Serenity Lodge is program.,"This place is pure magic💫. If you are looking for a place to relax, to snorkel in a peaceful and colorful environment or to come together with likeminded people or to talk about the universe, then you are the right place! The personnel is beyond friendly and very eager to help you in any situation possible. The owner is also very, very friendly and helpful. 

They have their own taxi drivers and even though Serenity Lodge is a bit further away from those busy areas, it's absolutely worth it. The prices are also very fair.

PS: They just built a very cool and cosy area next to the pool where you can work as a digital nomad! They even have charging stations on the pillars of the whole construction - it´s just amazing!","Id o not have any negative points, just two things I´d probably do in the near future.

I´d only put some seating furniture on the balcony, a table and two chairs for those who need to work in the room and some plants in the rooms to make it more cosy, but I think its already in the making. 

And I´d add the Egyptian Salads (Mezze) that you get in any restaurant to the menu. They are so delicious and it is really great if you don't need to go out for that (but this is just a very personal thing cause I could eat this from dust till dawn) 😁"
Sharm-ElSheikh,Siveen,Nice & quiet place for relaxation,Didnt have the chance to try the breakfast but the location is amazing .,"Security they were super rude . Unbelievabley rude . 
I had to get into a fight because one of them was so rude and wouldnt make a proper convo kept shouting till smw from my friends lied about giving the other one money so he could just leave us alone ! This is one situation of our stay ."
Sharm-ElSheikh,Amir,Exceptional,"good location ,staff are really helpful.
the best hotel to stay around naama bay ,
i would like to thank mr osama from the restaurant managment for his efforts .
i used to book and use falcon for last 11 years .",all ia good
Sharm-ElSheikh,Mohamad,Despite all the reservation manager was a very helpful gentelman.,All in all is fine for the low budget traveller.,"The price agreed with booking.com wasn’t the price I had to pay at the reception which is not correct!!
They have cashed a higher price."
Sharm-ElSheikh,Guangcong,Budget accomodation near Naama Bay,"All the staff are very kind, located walking distance to Naama Bay, at least when it's not too hot. Very economical option","The facilities are very old, staff are doing their best to maintain it, but there is just that much one can do. Standard room has window open to corridor, so one probably will have it covered most of time."
Sharm-ElSheikh,Hicham,Very Good,near to everything,all good
Sharm-ElSheikh,Ahmed,Pleasant,#NAME?,"- Food taste and varieties 

- Cleaness 

- Beach is far from the hotel, you have to walk under 50 degree temperature and the sun above your head for 12 minutes to reach the beach. I don't know why the hotel is not providing shuttle bus from hotel to beach and vice versa

- usually no available places on the beach ."
Sharm-ElSheikh,Ahmed,Pleasant,"Good value for money, the oriental coffee ahop owner is the best thing about this hotel, very hospitable and the prces are very reasonable.","Slow check in process,

Lobby was very hot
Lunch and breakfast minimal no boiled eggs no hot drinks in dinner for half board drinks are awful ... . Beach is 1km walk with no free transportation and needs to take tickets daily from reception, the beach also denies food and drink from outside.
House keeping hates Thier jobs and does it half a**ed only showed up 2 times in my 4 night stay."
Sharm-ElSheikh,Basant,"Was ok , good value","Early breakfast and dinner ! 
Dinner last at 9pm!
Although we r in summer time 
Also breakfast ends at 9: 30 Am !","Early breakfast and dinner ! 
Dinner last at 9pm!
Although we r in summer time 
Also breakfast ends at 9: 30 Am !"
Sharm-ElSheikh,Oğuzhan,Good,Thanks for be interested in Reception Mustafa and Mahmoud and King of the Stuff in there Housekeeper Mustafa very funny guy. Breakfast and dinner was good and there is in good location to everywhere.,None
Sharm-ElSheikh,Shayeb,Very Good,"Abdullrahman, Naji, Mohamad, and Mahmoud best regards from Moustafa ( 
Best people)",No Negative Review
Sharm-ElSheikh,Luke,Very Good,Everything,Ore variety of food. Longer check out time. Better plug sockets in the room and better tv.
Sharm-ElSheikh,Dancho,Great place to visit with your family,"It was my first all-inclusive stay, and I was surprised by how good it was. I was able to see the chefs how they prepare the food on the spot. A pizza guy was making the dough and baking the pizza. The fish guy, was grilling fish and sea food on the spot. And there was soo much food to chose from that it was hard.

Beach is really nearby, it has a shuffle bus, but personally I've never used it, although I was with a 4-year baby. It is really nearby. 

The room was big, and with a view to the sea. It was cleaned daily, and it had space for cloths, and other stuff.

In the lobby, it had shops, but also Taxi desk, where you can ask for personal transfer anywhere - whether it is a short travel, or day-tour

The bay is WOW - you can snorkel and see reefs and a variety of fishes. 

The pools are also fantastic - they have aquapark sliders, that we really enjoyed.","The beach is on rocks. So it is not really baby-friendly. But if you use the bay, you can immediately look at fishes. 

The prices for boat tours, and taxi travels are overpriced. We've realized this after we left, and tried other companies - it was like x2 or x3 than regular prices for tours. But this is normal in most of resorts."
Sharm-ElSheikh,Husna,Lovely location and professional staff,"The hotel is well-located and the interiors are amazing. The staff were friendly and professional. 

We had a small issue with a restaurant’s reservation but was solved by Ahmed from the front desk to accomodate our desire.",There might be a variety of food but the quality and taste need to be improved.
Sharm-ElSheikh,Naif,Exceptional,"There is no Egyptian food daily in the buffet !!
Kabab kofta its...","There is no Egyptian food daily in the buffet !!
Kabab kofta its..."
Sharm-ElSheikh,Mahmoud,"So cool vibes, nice food and fantastic pool.","It was very fantastic vacation and a cool location, I am sure we will come to V Hotel again 😍","The property charged me to pay for a damaged blanket because my child painted on it with a pen, although, I see that the blanket can be cleaned with regular detergent."
Sharm-ElSheikh,Ahmad,Exceptional,Every thing,Perfect
Sharm-ElSheikh,Christian,Exceptional,"Beautiful location, the staff are all amazing, kind, welcoming, and a credit to the resort. The food was exceptional and of a high quality. The entire resort is spotlessly clean with good facilities and well zones with chill areas in case you just want to relax and take in the beautiful views.
We very much enjoyed dinner every evening at Sea Salt with beautiful views of the bay and sea. 
As I mentioned, the staff are all amazing, and so many names to mention the list would be endless. Please pass on my thanks to your hard-working team for their hospitality and kindness. 
I will be rebooting for a future visit.",No Negative Review
Sharm-ElSheikh,Agri,I urge everyone to visit V hotel.,"Variety of entertainment tools, respective and friendly staff. You never get bored in the hotel.",No Negative Review
Sharm-ElSheikh,Ronny,Perfect,Staff are really amazing and friendly,No Negative Review
Sharm-ElSheikh,Samuel,Wonderful,Reception staff very friendly. Mr Saied al Nouby manager of restaurants very kindly. Mr Omar manager of bars very professional. Mr Mohamad Ezzat manager of Malai restaurants very generous. Plenty typs of delicious food. Nice place for snorkeling.,No Negative Review
Sharm-ElSheikh,Omenebele,Wonderful,"Alot of the staff went above and beyond to help which is so refreshing. 
Sayed in Sea Salt restaurant looked after us all week
Yosri and mohammad on reception fantastic 
Fayrouz was a life saver enabling us to check out later in the day. Overall experience has been lovely",No Negative Review
Sharm-ElSheikh,Dina,JAZ hotels really high standerd I loved to stay and feel vacation,It was wonderful vacation we enjoyed the classes and the entertainment team were motivated our day and our soul thanks everyone especially Fabio . The beach and the corals was magnificent it will stay in memory for ever.,Nothing
Sharm-ElSheikh,Julie,Great location and views,"Fantastic location
Very good beach and snorkelling 
Good pool and quiet pool if you wanted to chill out
Staff good
Our cleaner Mustafa was excellent cleaned room
every day always fresh bottles of water and clean towels.","The food could of been better
Sometimes the food was only warm and could of been a better choice 
The walk down to the beach is steep and not suitable for those with poor mobility but they do have a buggy to take people if needed.
No toilets on the beach and quite a walk up to the nearest facilities"
Sharm-ElSheikh,Weronika,Everything was perfect! Ideal vacations!,"Hotel is great! Tasty food, great atmosphere, nice views and very vice staff, especially Mostafa who took care of our room and made us stay even better. We had perfectly prepared room every day and very nice and funny surprises in our room like those at photo. The location was also perfect. Me and my friend like to walk on foot everywhere, so it was close to places we wanted to visit. Also it’s the vast location to watch both sunrises and sunsets! I won’t forget it! Thank you for very nice stay, we will remember it forever and miss this place and Mostafa!",Nothing! Everything was great
Sharm-ElSheikh,Analyn,Love it like a paradise,The ambience of the place,No Negative Review
Sharm-ElSheikh,Dean,An exceptional resort and brilliant value for money. We will definitely be coming back...but armed with extra high stren,"Location, Staff (particularly Moustafa, who cleaned our room - 4229 - each day). The pools are exceptional.","The beach was lovely, but way too crowded for us - we only went down to snorkel. Despite taking precautions, we we literally eaten alive by Mosquitos having Dinner outside the La Gazzelle restaurant - thereafter we ate inside."
Sharm-ElSheikh,Nnk,The best one is Cocktail at the main bar,"Pool, Cocktails (the main bar), sea",Foods - should be improved (not many options)
Sharm-ElSheikh,Altugh,We definetly want to come back!,"we enjoyed our stay at Jaz Fanara resort a lot the hotel was premium level, very clean, organised and professionally managed with very nice staff. The hotel has a wonderful bay and underwater for diving. food and drinks were also very good for an all inclusive concept. 
we had a misunderstanding with children accomodation policy which happened due to our wrong selection of children ages so we advice to correctly select the ages. But anyhow the hotel manager Mr.Waheed was very kind to clarify this misunderstanding and make our stay more special, we really appriciated it. And many thanks to the friendly staff. We definetly want to come back!",No Negative Review
Sharm-ElSheikh,Bettina,Diving vacation,Everything awsome! Really apprecuted there is a Padi diving center in the hotel and I was able to do my rescue padi course with a great instructor,No Negative Review
Sharm-ElSheikh,Samuel,Wonderful,"Everything very good especially the reception staff. Mr walid , Tarek & Steven , was very friendly. Nice peach. Delicious food.",Many stairs
Sharm-ElSheikh,Petya,I recommend it. It was really nice!,"We really liked it, everything was very good, very kind staff!!!",The cleaning of the room was nog amazing..
Sharm-ElSheikh,Mahmoud,"Really, it was wonderful stay. I guess ill repeat again once i could","Staff, welcoming, all facilities",No Negative Review
Sharm-ElSheikh,Maria,Great to relax,"Very spacious, lots of pools and the heater ones were really warm. Food was very good with a good variety between international and local cuisine","I am not a big fan of animation and the evening program was too loud for my taste, my toddler however enjoyed it"
Sharm-ElSheikh,Thomas,Nice,We liked the resort. We felt it was really beautifully laid-out and it had a very pleasant relaxed and friendly atmosphere. The staff were very friendly.,"The Wi-Fi was rubbish. I am not sure how it got that score. I partner paid $20 for the 72 hour internet upgrade but that was also wank. The food and drinks weren't amazing. They were fine, but they didn't match the opulence of the resort on the whole."
Sharm-ElSheikh,Isra,Real luxury all under one cleopatra roof,"Excellent staff - friendly and respectful. From the concierge to receptionists, housekeeping to taxi service, bartenders to waitress waiters and the man in charge of the shisha - one word….. exceptional!!! 

Loved our stay and will definitely be back",No Negative Review
Sharm-ElSheikh,Lyons,"Amazing place, facilties and lovely staff","The staff couldn't do enough for us, very friendly and worked so hard to ensure we had a great stay. The facilties were amazing, especially the infinity pool and the beach.",The food and entertainment were average (standard all inclusive). Prepare for an upset stomach.
Sharm-ElSheikh,Oluwole,I had a great time and would return to the Adults Only hotel which is what I thought I booked,Everything apart from internet connection in the rooms,Internet connection in the rooms
Sharm-ElSheikh,Maksim,We had a great experience,Good,"Pool, stuff and animators"
Sharm-ElSheikh,Hadj,"Excellent service , friendly reception staff","Excellent service , friendly reception staff 
Thank you everyone, hotel very nice.",No Negative Review
Sharm-ElSheikh,Valentina,Excellent stay,"everything good
reception team very helpful",No Negative Review
Sharm-ElSheikh,Berkin,Sunny delightful and flawless,From the beginning to end of our holiday everything is perfect and the staff is very helpful. The sea is just perfect and foods are delicious and grill area is delicious. Pools and room are clean and everyday Ahmad is helped. Mohammed and Shokry from Reception helped a lot for small issues.,Nothing you can choose the hotel
Sharm-ElSheikh,David,"Fab stay, fab food amazing","It’s my second home absolutely amazing staff totally from top to bottom, excellent with my husband so helpful as he has dementia they all care so much nothing is to much trouble .",I love every thing
Sharm-ElSheikh,Miss,"Cheap and cheerful, good friendly staff",Location,"Food wasn’t very varied and mostly served cold , entertainment wasn’t great , and only played music in morning round pool not in afternoon"
Sharm-ElSheikh,Andrei,Good value for money,"Food was cool, staff were very helpful","The swimming pool was about 22C which is cold, wifi works slow"
Sharm-ElSheikh,Andrii,Very Good,Good enough for the price paid,Cleanliness
Sharm-ElSheikh,Lukasz,Friendly staff and decent value for small money,"Staff was friendly. Room was ok although you could close the main doors while doors from the ground floor balcony were not closing so room could be left open as well. Waiters in the restaurant were super helpful and friendly. 

Room size and bed were ok. Bathroom, towels were clean to decent degree. 

Restaurant offered vast selection of meals while not very tasty. 

All in all , whole men staff was trying to do their best while I reckon men's way of cleaning is not the premium.



But much much better than other 4☆☆☆☆ hotel with low price (Sharm Cliff Hotel) which was purely disaster. 

By comparison Falcon Hills is much better.","All meals feeled the same for few days. 
Distant location to any bigger shoping area. 
Checkin kind of too long and detailed."
Sharm-ElSheikh,Enrico,Good,"Very nicely maintained resort with two swimming pools, the rooms are clean and quite big. Good quality-price ratio.",The food at the bouffet is not the best and the wifi is really bad in the rooms.
Sharm-ElSheikh,Mario,Good,Staff reception,Staff reception
Sharm-ElSheikh,Amr,Good Value,#NAME?,- Shouting and screaming of the children .
Sharm-ElSheikh,Oya,Good,i always stay that hotel.Kind staff and good price,aircondition is not work proparly and cleaning is a bite weak.
Sharm-ElSheikh,Kian,Overall a pleasant stay,"・Garden/pool view from the room
・Overall cleanliness of the bed and bathroom.
・Affordable in-house laundry service 
・Friendly and helpful front desk personnel","・Hot water wasn't available most of the time
・2 glasses were provided but there's no tea spoon & kettle in the room
・The ceiling light in the bathroom was really dark
・Very limited buffet breakfast menu. Nearly half of the pastries are sugarcoated 
・WiFi wasn't reliable most of the time
・Could literally hear the showering and flushing noise from next door (due to the connecting door?)
・Room interior reminds me of the 80's or 90's design"
Alexandria,Doha,Exceptional,Everything was great special thanks to basama front desk Asma hair dresser and vale guys who always helped me but unfortunately I don’t their name hope to come back,Nothing
Alexandria,Shaymaa,It is ok but over priced.,"Location is so good at the center of the town.
Breakfast was ok. They need to pay some attention to the cleanness of the restaurant.
It is extremely over priced compared to other 5 star hotels. Valet parking was 100 EGP per night which is weird to be charged for your car per night in such a hotel.","The cleanness of the restaurant. 
The valet parking fees.
The shampoo they had was terrible."
Alexandria,Ashraf,Good,ALL,Late of arrival of bags
Alexandria,Ahmed,Good time and excellent food. Great value for money.,"Food is great, the location is central the view is wonderful.",Some of the furniture is not maintained properly.
Alexandria,Dalia,Very Good,"I had a great stay! The room was very clean, and the location was perfect, giving easy access to all areas in the center of Alexandria. The breakfast was delightful with a lot of variety, ensuring there was something for everyone. Highly recommended",No Negative Review
Alexandria,Ahmed,Good,Staff is very helpful and pleasant,Poor breakfast
Alexandria,Abdelfattah,Max three stars rating,"Three stars maximum rate is what it really worth
Good location 
Average breakfast
Comfy bed
Furniture over used
Cleanliness less than average",No Negative Review
Alexandria,Mario,Very Good,"*Location
*Fast check-in
*Responding to requests quickly",*Room cleanliness could be better
Alexandria,Mohamed,Perfect,Location and staff specially Sara Mounier at the reception,Room facilities
Alexandria,Nasser,Very Good,I had a lovely stay for two nights. I would also like to thank the two amazing housekeeping staff (Awad & Mustafa) for their wonderful hospitality.,Nothing. The hotel needs to start its renovation to continue offering the same services in the future.
Alexandria,Jiri,Exceptional,"Great helpful staff, very good breakfast with great selection. The hotel has its own beach.","Cleanliness. Everything was dirty (floor in the room, forks and spoons at the breakfast room, plates etc.). They are probably trying their best, but this is the main thing to improve."
Alexandria,Hossam,Pleasant,The view is amazing. Breakfast food was outstanding. TV is ok.,The rooms have no carpet.
Alexandria,Mai,Pleasant,"the suits are clean but require a little maintenance, the windows should be changed to a window that doesn't permit sound or air.","the suit was clean, beds were clean, also the breakfast is nice"
Alexandria,Islam,Pleasant,View,"Cleaness, noises"
Alexandria,Mina,Pleasant,Good value for money,"Cleanliness is an issue, specially it won't cost much to make the place clean"
Alexandria,Ahmed,Good,Good breakfast and good staff,The beach is so small and crowded and the parking area is so far from the hotel and the hotel without swimming pool
Alexandria,Karim,Very Good,"the location, the view, the facilities","breakfast was not as expected, the staff was not friendly as expected"
Alexandria,Aql,Pleasant,"house keeping way of cleaning such as no enough towels , did not clean balcony , one person to clean bedroom, bathroom and change bed covers
room clerck not professional 
added 25 dollars more to room rate as booked though dollar did not go up","house keeping way of cleaning such as no enough towels , did not clean balcony , one person to clean bedroom, bathroom and change bed covers
room clerck not professional 
added 25 dollars more to room rate as booked though dollar did not go up"
Alexandria,Ahmed,Pleasant,The room wasn't clean,The room wasn't clean
Alexandria,Walid,Pleasant,"Staff are very freindly, Very Good Location, Free Parking, Beds are good.","We took a 2 Bedroom Junior Suite, The room were good but the shower in the bathroom always flod the bathroom every time any one take a shower.

The Free Internet is nightmare. very slow and the coverage in rooms are very bad. No wired internet. Also the Mobile Network are very week in this hotel (All Networks)."
Alexandria,Sahar,Excellent,Very clean friendly staff amazing sea view,Nothing
Alexandria,Rasha,Decent place but needs renovation,Location & view,"Bed mattress & sheets need renovation 
Breakfast food refilling"
Alexandria,Said,It was convenient for me but I will not stay again.,I liked the view and that I have been upgraded to a suite,"The beds were too small abd very hard sorry to say that beds were not comfy, the breakfast buffet very poor."
Alexandria,Enjy,Very Good,Location,The bathroom door is glass and you can see inside which is not suitable
