City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Sharm El Sheikh,Grand Oasis Resort,Krisztina,Hungary,2 nights   ,November 2023,Family,Standard Double or Twin Garden View Room,"November 3, 2023",coral reef beautiful wifi works whole place filopater reception extra nice,negative feedback,No Negative Feedback,"The coral reef is beautiful, the WiFi works in the whole place. Filopater át the reception was extra nice.",1,"['extra', 'át reception', 'filopater', 'wifi works', 'coral reef']",[],['reception'],[]
Hurghada,Hilton Hurghada Plaza Hotel,Farhan,United Kingdom,3 nights   ,June 2024,Family,King Room,"June 5, 2024",nice hotel comfortable beds able provide full menu room service arrived,could done kids slides,They could have done with more kids slides,Very nice hotel comfortable beds. Able to provide a full menu room service at 2am after we arrived.,-1,"['able', 'service', 'menu', '2am arrived', 'hotel comfortable beds']",[],"['hotel', 'service']",[]
Aswan,Zen Wellness Resort,Mengling,Taiwan,2 nights   ,October 2024,Group,Superior Nile View,"October 3, 2024",restaurant meals great food drink staffs great although needs shuttle go bit far reception,faucet bathroom broken informed reception immediately checked nights one came fix also checked used bottle water balcony,"The faucet in the bathroom was broken , informed reception immediately and until I checked out after 2 nights , no one came to fix it. Also when I checked in , there was a used bottle water in the balcony .","The restaurant for meals is great, food , drink, staffs are all great although needs shuttle to go there ( a bit far from reception)",-1,"['bit far reception', 'drink', 'food', 'staffs great', 'needs shuttle']","['checked nights', 'informed reception immediately', 'broken', 'bathroom', 'water balcony']","['reception', 'food']",[]
Luxor,Eyaru Palace Nile View,Pascal,Germany,4 nights   ,January 2025,Group,Double Room with Sea View,"January 23, 2025",service eyaru palace exceptional everything asked made possible good local food overall great service experienced,beware mosquitos night nile,Beware of the mosquitos 😉 at night at the Nile,The service at Eyaru Palace was exceptional. Everything we asked for and more had been made possible! Good and local food and overall a great service we’ve experienced here,-1,"['good local food', 'palace', 'exceptional asked possible', 'eyaru', 'overall great service']","['night', 'beware', 'nile', 'mosquitos', 'mosquitos night']","['food', 'service']",[]
Aswan,Ekadolli Nubian Guesthouse kerma hospitality,Tsiligkakis,Greece,3 nights   ,January 2025,Family,Family Room,"January 4, 2025",personnel hospitality amazing breakfast free guided tour provided ekadoli nubian village absolutely unique experience,negative feedback,No Negative Feedback,"Personnel hospitality, amazing breakfast, the free guided tour provided by Ekadoli to the Nubian village, was absolutely unique experience.",1,"['breakfast free', 'ekadoli', 'personnel hospitality', 'guided tour', 'absolutely unique']",[],['breakfast'],[]
Sharm El Sheikh,Verginia Sharm Resort Aqua Park,Atlamaz,United States,4 nights   ,February 2025,Group,Superior Triple Room,"February 10, 2025",everything perfect staff superb muhammed especially really helpful checkout able leave bags day checked food good abundant varied aquapark really fun free alcoholic drinks reception gave us l bottles water overall satisfied,negative feedback,No Negative Feedback,"Everything was perfect. The staff was superb. Muhammed was especially really helpful with checkout. We were able to leave our bags for the day we checked out. The food was good, abundant and varied. Aquapark was really fun with free alcoholic drinks. The reception gave us 1.5 L bottles of water 24/7. Overall very satisfied.",1,"['checkout able leave', 'really fun', 'reception gave', 'staff superb muhammed', 'aquapark']",[],"['reception', 'staff']",[]
Luxor,Nefertiti Hotel Luxor,Abhishek,United Arab Emirates,1 night   ,Dec-24,Family,Triple Room,"January 11, 2025",location central within walking distance luxor temple tried roof top restaurant meals world charm serves great food staff friendly eager help,old property meant lift get restaurant th floor,Being an old property meant no lift to get to the restaurant at the 4th floor 🙁,"The location is very central, within walking distance to the luxor temple. We tried the roof top restaurant for 2 meals, it has an world charm to it and serves great food. The staff are friendly and eager to help.",-1,"['tried roof', 'staff friendly eager', 'great food', 'central walking distance', 'luxor temple']","['property meant', '4th', 'old', 'restaurant', 'meant lift']","['food', 'staff']","['restaurant', 'old']"
Hurghada,Pickalbatros Jungle Aqua Park Neverland Hurghada,Mubeen,Egypt,3 nights   ,January 2025,Family,Special Offer - Bungalow- Egyptians and Residents Only,"January 6, 2025",food service fantastic opinion guys must add asian food also good resort available chinese restaurant pakistan indian food,negative feedback,No Negative Feedback,Your food service was fantastic but my opinion you guys must add asian food also which is good for your resort there is available Chinese restaurant but not Pakistan and Indian food,1,"['opinion guys', 'add asian', 'service fantastic', 'pakistan indian food', 'good resort available']",[],"['food', 'service']",[]
Sharm El Sheikh,Sierra Sharm El Sheikh,רביע,Israel,4 nights   ,June 2024,Family,Standard Twin Room with Garden View,"June 20, 2024",reception mr mina nice person polite need help ask mr mina,negative feedback,No Negative Feedback,Reception Mr Mina very nice person and very polite if you need any help just ask about Mr Mina,1,"['need help', 'just ask', 'mr', 'person polite', 'mina']",[],[],[]
Aswan,Nuba Dool,Lisa,Germany,3 nights   ,April 2023,Couple,Standard Double or Twin Room with Sea View,"April 10, 2023",place aswan car free nile island elephantine looking calm comfortable small hotel typical nubian flair fantastic nile view one two roof terraces delicious breakfast served pleasantly unobtrusive jung staff highly recommended,gender segregation ferry island progressive foreigners set example submit unequal treatment young hopeful arabians thank see eyes,There is gender segregation on the ferry to the island. Progressive foreigners should set an example and not submit to this unequal treatment - the young hopeful Arabians will thank you as you can see in their eyes.,"This is THE place to be in Aswan - on the car-free Nile island Elephantine - when you are looking for a calm and comfortable small hotel with typical nubian flair, a fantastic Nile view from one of the two roof terraces and a delicious breakfast served by pleasantly unobtrusive jung staff. Highly recommended!",-1,"['terraces delicious breakfast', 'elephantine looking calm', 'free nile', 'aswan', 'hotel typical']","['submit unequal', 'thank eyes', 'ferry island', 'unequal treatment young', 'arabians']","['nile', 'breakfast', 'hotel']",[]
Sharm El Sheikh,Sunrise Arabian Beach Resort,Bryan,Canada,7 nights   ,November 2024,Couple,Superior Room,"November 21, 2024",property beautiful best part stay customer service alaa slide pool amazing deserves raise,negative feedback,No Negative Feedback,"The property is beautiful, but the best part of our stay was the Customer Service. Alaa at the Slide Pool was amazing and deserves a raise.",1,"['stay customer', 'slide pool', 'deserves raise', 'alaa', 'property beautiful best']",[],['pool'],[]
Luxor,Aracan Eatabe Luxor Hotel,Muhammad,Bangladesh,1 night   ,Sep-24,Family,Standard Double Room,"September 19, 2024",many things liked location beside neil attractions staffs hotel super friendly name aala ali ali baba ahmed walid mohammed mostofa asma many helpful welcoming salt cave amazing btw booked hot air balloon hotel found cheaper aracan eatabe amazing hotel stay luxor still hangover heavenly stay,nothing dislike,NOTHING is there to dislike there,"Many things we liked :
1. The location itself . Just beside the Neil and in between all attractions.

2. Staffs of the hotel were super friendly. I can name Aala, Ali ( Ali Baba😂) , Ahmed , Walid , Mohammed , Mostofa , Asma and many more !!! So helpful and welcoming !!!

3. They have a salt cave . Which is amazing . Btw we booked the Hot Air Balloon from the hotel as found cheaper there . 

4. The Aracan Eatabe is an amazing hotel stay in Luxor. Still we are in Hangover about the heavenly stay there .",-1,"['salt cave amazing', 'neil attractions staffs', 'things liked', 'aracan eatabe', 'hotel cheaper']",[],['hotel'],[]
Aswan,BAYT ZAINA Nubian hospitality house,Evgeny,United Kingdom,2 nights   ,January 2025,Group,King Room with Sea View,"January 25, 2025",great time elephantine island everyone guesthouse nice hospitable location great peaceful side town boat ride minutes always time managers arranged trip philae temple felucca ride us day arrived noon everything smooth passed boat car boat car boat precision felucca ride sunset amazing peaceful really recommend telling everything like get arranged smoothly breakfast fresh local touch really liked dates sweet jam,negative feedback,No Negative Feedback,"We had great time at Elephantine island and everyone at guesthouse was very nice and hospitable 

Location is great and peaceful on the other side from the town. Boat ride is about 5 minutes and always was on time
Managers arranged a trip to Philae temple and felucca ride for us same day we arrived at noon. Everything was very smooth and we were passed from boat to car to boat to car to boat with precision! 
Felucca ride at the sunset was amazing and peaceful
I really recommend just telling everything you d like to do and you will get it arranged smoothly 

Breakfast was fresh and with local touch - i really liked dates sweet jam",1,"['time elephantine', 'location great peaceful', 'guesthouse nice hospitable', 'arranged trip', 'felucca ride']",[],['location'],[]
Sharm El Sheikh,Savoy Sharm El Sheikh,Rabea,Saudi Arabia,2 nights   ,January 2025,Family,Standard King Room with Sea View,"January 27, 2025",activities,entrancing hotel,The entrancing to the Hotel,All the activities,-1,[],[],[],[]
Aswan,Kato Dool Wellness Resort,Nathalie,United States,1 night   ,June 2023,Couple,Superior Room Nile View,"July 2, 2023",kato dool magical place thoughtfully made makes feel relaxed hotel room impeccably clean given free upgrade best room upon early check treat staff definitely want make feel valued want give best room exceptional large deck proper shower well ac also enjoyed many activities hotel coordinates well restaurant shisha site huge perk pay everything even activities credit card helpful,wish shade near pool better ventilation main dining space seems trying grow palm trees near pool years go additionally hard find menu figure details hotel wifi etc first day known unless asked welcome warm given lot information hotel creation lot basic details,"I wish there was more shade near the pool and better ventilation in the main dining space. It seems they are trying to grow palm trees near the pool, but they have a few years to go… Additionally, it was hard to find a menu/figure out details about the hotel (wifi, etc) on the first day and I wouldn’t have known unless I asked about both. The welcome was warm and I was given a lot of information about the hotel creation, but not a lot about the basic details.","Kato Dool is a magical place that is very thoughtfully made and makes you feel so relaxed. The hotel room was impeccably clean and we were given a free upgrade to the best room upon (early) check in which was such a treat! The staff definitely want to make you feel valued and want to give you the best they have. The room was exceptional with a large deck and proper shower, as well as AC. We also enjoyed the many activities that the hotel coordinates, as well as the restaurant and shisha on site. HUGE perk is that you can pay for everything (even the activities) with credit card! So helpful 😀",-1,"['staff definitely', 'dool magical', 'hotel coordinates', 'best room early', 'kato']","['better ventilation main', 'near pool years', 'palm trees near', 'dining', 'information hotel creation']","['hotel', 'room', 'staff']","['pool', 'hotel']"
Luxor,Sonesta St George Hotel Convention Center,Alnasir,Canada,1 night   ,Feb-25,Couple,Standard Side Nile View Room,"February 11, 2025",front desk staff world class welcomed us upgraded room much interaction restaurant staff restaurant service staff provided minimal service beautiful property,negative feedback,No Negative Feedback,"The front desk staff is world class. They welcomed us and upgraded our room. We didn't have much interaction with the restaurant staff. The restaurant service staff provided minimal service. 

Beautiful property.",1,"['provided minimal service', 'welcomed upgraded', 'restaurant', 'beautiful property', 'staff world class']",[],"['staff', 'restaurant', 'service']",[]
Luxor,Elphardous Oasis Hotel,Jason,Australia,2 nights   ,Dec-23,Solo traveler,Double or Twin Room,"December 30, 2023",owner people working beautiful people always help everything close hotel solo traveler makes easy like,nothing everything great,Nothing everything was great,"The Owner and all the people working are very beautiful people and will always help you. 
Everything is very close to this hotel if you are a solo traveler it makes it very easy just like for myself.",-1,"['easy just', 'people working', 'solo', 'traveler makes', 'help close hotel']",[],['hotel'],[]
Sharm El Sheikh,Pickalbatros Royal Grand Sharm Adults Friendly Years Plus,Ahmed,Egypt,3 nights   ,December 2024,Group,Superior Double or Twin Room,"December 2, 2024",staff representatives excellent team especially michael mohamed front office team well ismail reception manager interested receive concerns comments ibrahim beach beach guard good excellent person smily committed work really share thanks manager addition room service team manager following everything day day room service cleaning perspective special thanks mr mohamed nabih reception manager following hospitality service customer satisfaction time time day day really staff nice smoky people also lobby bar mahmoud excellent turkish coffee forget request resturant forget well one person called abdulrahman think new comer person hard worker supportive fully cooperative breakfast lunch dinner started fully focus tables serve guest hopefully list name correctly,consider like minor comments need considered overall stay good nice first comment resturant recommended gusset point view water table need request water go resturant bar corner bring water return back table minor comment required second comments animation team poor need enhance comparison hotels level star animation team less nothing introduce obvious guests stay heard also feedback guest,"We cannot consider I don’t like but I have only minor comments need to considered but overall stay is very good and nice 
First comment is in Resturant I recommended as a gusset from my point of view , water to be in table no need when I request a water go to Resturant bar in the corner and bring water then return back to table , this is a minor comment but required 

Second comments Animation Team is very poor need to enhance in comparison with other hotels in the same level star animation team is less and has nothing to introduce which is obvious for all guests and during our stay we heard also the same feedback from other guest's.","Staff representatives is an excellent team especially Michael / Mohamed “Front office Team” and as well Ismail “Reception Manager” , he is very interested to receive any concerns or comments
Ibrahim in the beach , beach guard very good and excellent person , smily and he is committed with work , really share my thanks to his manager 
In addition Room Service team and their manager is following everything day by day from room service and cleaning perspective.
Special thanks to Mr.Mohamed Nabih “Reception Manager as he is following hospitality , service and customer satisfaction from time to time and day by day.
Really all the staff is so nice and smoky people also on the lobby bar “Mahmoud” he is doing an excellent Turkish Coffee , don’t forget to request 
In Resturant to not forget as well there is one person called AbdulRahman I think he is new comer person he is very very hard worker , supportive and fully cooperative, once breakfast , lunch or dinner started he is fully focus on tables and serve the guest , hopefully I list he is name correctly",-1,"['customer satisfaction', 'beach guard good', 'room service cleaning', 'hospitality', 'mohamed office team']","['like minor comments', 'considered overall stay', 'hotels level star', 'resturant recommended gusset', 'request water resturant']","['beach', 'room', 'service']",[]
Sharm El Sheikh,Reef Oasis Beach Aqua Park Resort,Daniela,Portugal,5 nights   ,November 2024,Couple,Deluxe Room With Pool View,"December 1, 2024",hotel absolutely amazing good food good staff lots best reef area lots pools aqua park great,food beach bar could better hamb rguer pizza bit tasteless,The food at the beach bar could be better. Only hambúrguer and pizza and a bit tasteless,"The hotel is absolutely amazing. Good food. Good staff. Lots to do. Best reef in the area, lots of pools, aqua park it’s great!",-1,"['pools', 'food good staff', 'absolutely amazing', 'reef area', 'hotel']","['bit', 'hambúrguer', 'beach', 'tasteless', 'pizza']","['food', 'hotel', 'staff']",['beach']
Luxor,Pavillon Winter Luxor,Michael,United States,4 nights   ,Mar-24,Family,Classic Room with 2 Single Beds with Garden View,"April 9, 2024",beautiful room balcony overlooking acres meticulously kept garden oasis shared winter palace capable responsive lobby attendants expansive delicious breakfast buffet attentive waiters cr pe omelette chef sparkling pool wonderful linens daily glass bottles water room,loved everything,We loved everything.,"Beautiful room with balcony overlooking acres of meticulously kept garden oasis shared with Winter Palace, capable and responsive lobby attendants, expansive and delicious breakfast buffet with attentive waiters and a crêpe and omelette chef, sparkling pool, wonderful linens, daily glass bottles of water in room.",-1,"['garden oasis shared', 'balcony', 'attentive waiters', 'water room', 'delicious breakfast buffet']",[],"['breakfast', 'room']",[]
Luxor,MS Chateau Lafayette Nile Cruise nights Luxor Monday nights Aswan Friday,Claudia,Germany,4 nights   ,Apr-24,Family,Standard Twin Room Without Sightseeing,"April 17, 2024",ein sehr sch nes gem tliches schiff die crew ist super freundlich und liest einem alle w nsche von den augen ab das essen ist auch lecker es ist f r jeden etwas dabei wir hatten eine zweibettkabine diese ist sehr ger umig und man kann das fenster ffnen,die matratzen sind zu hart hier muss ge ndert werden,The mattresses are too hard. Something has to be changed here.,"A very nice, cozy ship. The crew is super friendly and reads one 
All requests from the eyes. The food is also delicious. There is something for everyone. 
We had a two -bed cabin. This is very spacious and you can open the window.",-1,"['friendly reads requests', 'food delicious', 'bed', 'spacious open window', 'ship crew']","['hard changed', 'changed', 'hard', 'mattresses', 'mattresses hard']",['food'],[]
Sharm El Sheikh,Reef Oasis Blue Bay Resort Spa,Grazyna,Poland,7 nights   ,December 2024,Solo traveler,Superior Double or Twin Room with Garden View,"December 15, 2024",beautiful location stunning gardens cleanliness peacefulness,negative feedback,No Negative Feedback,"The most beautiful location! Stunning gardens!
Cleanliness,peacefulness!",1,"['cleanliness', 'stunning', 'peacefulness', 'location', 'gardens']",[],['location'],[]
Sharm El Sheikh,Pickalbatros Laguna Vista Aqua Park HRS Inclusive,Mohamed,Spain,7 nights   ,January 2025,Family,Deluxe Double Room Pool View,"February 11, 2025",good experience pools beach activities great nice helpful staff,far city center taxi service way go sharm city minutes drive expensive taxi drivers took us directly location souvenir shop tried sell us staff,Very far from the city center. Taxi service is the only way to go to Sharm city (30 minutes drive) and very expensive. Taxi drivers took us directly to a location of a souvenir shop and tried to sell us other staff.,"Very good experience. Pools, Beach and activities are great. Very nice and helpful staff.",-1,"['good', 'experience', 'beach', 'pools', 'nice helpful staff']","['city', 'souvenir shop tried', '30 minutes drive', 'drive expensive taxi', 'sharm']","['beach', 'staff']","['taxi', 'expensive']"
Sharm El Sheikh,Pickalbatros Royal Moderna Sharm Aqua Park,Laura,France,10 nights   ,December 2024,Family,Family Room,"December 28, 2024",great facilities clean,negative feedback,No Negative Feedback,"Great facilities, very clean",1,"['great', 'clean', 'facilities', 'great facilities', 'facilities clean']",[],['clean'],[]
Sharm El Sheikh,Pickalbatros Palace Sharm Aqua Park,Viktor,Ukraine,1 night   ,December 2024,Family,Standard Room with Garden View,"December 29, 2024",everything great reda reception friendly helpful made stay enjoyable happy stay come back recommend friends,negative feedback,No Negative Feedback,"Everything was great, Reda from the reception was very friendly and helpful and made our stay very enjoyable. We were very happy to stay here and will come back again and recommend it all our friends.",1,"['recommend friends', 'stay', 'reception', 'happy', 'reda']",[],['reception'],[]
Hurghada,Zen Resort Sahl Hasheesh TBH Hotels,Steven,United Kingdom,4 nights   ,May 2024,Solo traveler,Deluxe Double Room with Sea View,"July 4, 2024",value money friendly staff good restaurant menu shuttle beach beach restaurant clean comfortable room,distance hurghada intermittent wifi,Distance from Hurghada. Intermittent WiFi,Value for money. Friendly staff. Good restaurant menu. Shuttle to beach and beach restaurant. Clean and comfortable room.,-1,"['money friendly', 'beach', 'menu shuttle', 'clean comfortable room', 'restaurant']","['intermittent', 'distance', 'wifi', 'hurghada', 'intermittent wifi']","['beach', 'restaurant', 'room', 'clean']",['wifi']
Aswan,Ekadolli Nubian Guesthouse kerma hospitality,Satish,India,2 nights   ,March 2023,Family,Triple Room,"March 19, 2023",quite near located within nubian village nile river clean environment nice sunrise view top house special mention host mr khalid humble helpful try nubian style food good place also arrange trips different places taxi well,negative feedback,No Negative Feedback,"its quite near located within nubian village and Nile river, clean environment.. nice sunrise view from top of the house.. special mention about the host Mr Khalid very humble and helpful.. try having nubian style food its very good at this place… they can also arrange trips to different places and taxi as well..",1,"['khalid humble helpful', 'nice sunrise view', 'located nubian', 'food good place', 'village nile river']",[],"['nile', 'food', 'view']",[]
Hurghada,Hilton Hurghada Plaza Hotel,Esen,Turkey,1 night   ,October 2024,Family,One-Bedroom Apartment,"December 18, 2024",amazing star hotel totally recommend,negative feedback,No Negative Feedback,"Amazing 5 star hotel, totally recommend!",1,"['star', 'totally', 'amazing', 'recommend', 'hotel']",[],['hotel'],[]
Luxor,Kemet House,Lu,China,2 nights   ,Dec-24,Group,Double Room with Terrace,"December 17, 2024",0,nothing,Nothing,"Clean and comfortable, the breakfast was delicious, and the itinerary arranged by the hotel for us were very good. Highly recommended.",2,"['arranged', 'highly', 'clean', 'itinerary', 'breakfast delicious']",[],"['breakfast', 'clean']",[]
Sharm El Sheikh,Jaz Belvedere Resort,Abdullah,Saudi Arabia,2 nights   ,January 2025,Couple,Superior Queen or Twin Beds Sea View,"January 19, 2025",location staff cleanness food facilities,nothing,Nothing,"Location, staff, cleanness, food , facilities..",1,"['food', 'cleanness', 'location', 'staff', 'food facilities']",[],"['location', 'food', 'staff']",[]
Sharm El Sheikh,Serenity Lodge,Catherine,United Kingdom,4 nights   ,January 2025,Couple,Double Room,"January 27, 2025",location serenity lodge amazing away hustle bustle resorts amazing access sea diving snorkelling,rooms bit shabby bed sheets appeared worn tired overall place could freshen,"The rooms very a bit shabby, bed sheets appeared very worn and tired. The overall place could do with a freshen up.","The location of Serenity lodge is amazing, away from the hustle and bustle of the resorts but with amazing access to sea for diving / snorkelling.",-1,"['away', 'amazing access', 'location', 'bustle resorts', 'sea diving snorkelling']","['bit', 'overall place', 'freshen', 'appeared worn tired', 'rooms']","['location', 'sea']",[]
Luxor,Pavillon Winter Luxor,Elizabeth,United States,3 nights   ,Dec-24,Group,Classic Room with 2 Single Beds with Garden View,"December 12, 2024",location beautiful gardens design comfort rooms staff kind professional helpful,positive,It was all positive,"The location, beautiful gardens, design
And comfort of the rooms. The staff are kind, professional and helpful.",-1,"['kind', 'professional', 'location', 'beautiful gardens', 'comfort rooms']",[],['location'],[]
Hurghada,Casa Cook El Gouna Adults,Anna,United Kingdom,6 nights   ,January 2024,Family,Premium King Terrace Sea View,"January 16, 2024",hotel staff went beyond make stay extremely memorable one kindness diligence really made pleasure stay hotel especially gamil saad atef fatima breakfast fantastic big offering restaurant offered many options dinner high quality tasteful stayed premium roof terrace room sea view spacious beautiful amazing views hotel facilities activities spot things keep guests entertained small surprises add lot value stay beach spacious pool area great atmosphere hotel lot fantastic small details really make difference sustainability efforts great see hotels follow el gouna wonderful destination safe clean beautiful helpful events manager helped us plan trip cairo private car well organised thank casa cook el gouna,negative feedback,No Negative Feedback,"The hotel staff went above and beyond to make our stay an extremely memorable one. Their kindness and diligence really made it a pleasure to stay at this hotel (especially Gamil, Saad, Atef and Fatima). The breakfast was fantastic, with a big offering. The restaurant offered many options for dinner and all are high quality and tasteful. We stayed in the premium roof terrace room with a sea view and it was spacious, beautiful and had the most amazing views. The hotel and its facilities and activities were spot on, with things to keep guests entertained and small surprises that add a lot of value to your stay. The beach is spacious and the pool area has a great atmosphere. The hotel has a lot of fantastic small details which really make all the difference. The sustainability efforts are great to see and more hotels should follow. El Gouna is a wonderful destination which is very safe, clean and beautiful. The helpful events manager helped us plan a trip to Cairo in a private car and it was very well organised. Thank you Casa Cook El Gouna!",1,"['really pleasure stay', 'hotels follow el', 'wonderful destination', 'cook el gouna', 'hotel staff went']",[],"['hotel', 'staff']",[]
Luxor,Aracan Eatabe Luxor Hotel,Eliasova,United Kingdom,7 nights   ,Dec-24,Couple,Standard Double Room,"December 20, 2024",great location beautiful views friendly staff,negative feedback,No Negative Feedback,"Great location with beautiful views, friendly staff 👌",1,"['friendly', 'great', 'staff', 'location', 'beautiful views']",[],"['location', 'staff']",[]
Aswan,Kato Dool Wellness Resort,Kevin,Ireland,2 nights   ,December 2024,Couple,Superior Room Nile View,"January 10, 2025",breakfast amazing nice fresh view room exceptional overlooking nile reached hotel pure relaxation,drawback otherwise unforgettable experience tuc tuc ride nearby village uncomfortable,"The only drawback to an otherwise unforgettable experience was the tuc-tuc ride from the nearby village, it was very uncomfortable.","Breakfast was amazing, nice and fresh. The view from the room was exceptional, overlooking the Nile. Once we reached the hotel it was pure relaxation.",-1,"['fresh view', 'relaxation', 'room', 'nile reached', 'breakfast amazing']","['village', 'drawback unforgettable', 'ride nearby', 'uncomfortable', 'tuc tuc']","['nile', 'breakfast', 'room', 'view']",[]
Hurghada,Bellagio Beach Resort Spa,Matt,United Kingdom,6 nights   ,November 2024,Couple,Deluxe Sea View Room,"November 20, 2024",wonderful time bellagio celebrating partners birthday omar manager staff resort could enough us would highly recommend anyone staying bellagio,sure could fault anything,Not sure I could fault anything,We had a wonderful time at Bellagio celebrating my partners birthday. Omar the manager and all the staff at the resort could not do enough for us. I would highly recommend anyone staying at Bellagio,-1,"['omar manager', 'recommend staying', 'partners birthday', 'wonderful time', 'bellagio']",[],[],[]
Hurghada,Hilton Hurghada Plaza Hotel,Mostafa,Egypt,5 nights   ,June 2024,Family,King Room,"July 30, 2024",liked food restaurant kids aquapark animation team shows,waiters restaurants keen serving local egyptian guests fact ignored helping us completely,Some of the waiters of the restaurants are not keen on serving local (Egyptian) guests. In fact some of them ignored helping us completely.,"We liked the food in the restaurant , the kids aquapark , and the animation team shows.",-1,"['team shows', 'food', 'animation', 'liked', 'aquapark']","['helping completely', 'fact', 'ignored helping completely', 'egyptian', 'waiters restaurants keen']",['food'],[]
Sharm El Sheikh,Sunrise Arabian Beach Resort,Natalie,United Kingdom,5 nights   ,December 2024,Family,Deluxe Swim-Up Room - ( Adults Only ),"December 27, 2024",staff amazing really friendly super attentive deluxe swim room fab ask room sunny side shade day literally step room patio heated pool amazing rooms stocked daily soft drinks great grounds really well kept everywhere pretty resort huge bus golf carts drive around needed,could get restaurant booking system everything done online limited availability restaurants menus also viewed online paper copies hated think dining options fully explained either last day discovered beach restaurant open daily pm without need booking would useful know start food fairly average nothing wowed us rooms could also use snacks like packs biscuits etc,"I could not get on with restaurant booking system at all - everything had to be done online, and there is limited availability. Once in the restaurants, the menus also have to be viewed online, no paper copies at all, I hated it. I don’t think the dining options were fully explained either, on the last day, we discovered the beach restaurant is open daily from 12-5pm without the need for booking, this would have been useful to know at the start! The food was fairly average, nothing wowed us. Rooms could also use a few snacks like packs of biscuits etc.","The staff were amazing, really friendly and super attentive. We had a deluxe swim up room, which was fab (ask for a room on the sunny side, as some are in the shade all day) - literally step from your room to the patio and into the heated pool…amazing. Rooms are re stocked daily with soft drinks, which is great. The grounds are really well kept, everywhere is very pretty. The resort is huge, but there is a bus/golf carts to drive you around if needed.",-1,"['room patio heated', 'rooms stocked daily', 'swim', 'resort huge bus', 'staff amazing really']","['menus viewed online', 'don think dining', 'booking', 'online limited availability', 'beach restaurant open']","['room', 'staff']","['beach', 'restaurant']"
Sharm El Sheikh,Reef Oasis Beach Aqua Park Resort,Özbey,Turkey,5 nights   ,September 2024,Group,Preferred Room with Garden View,"September 8, 2024",amazing stay hotel second time guests snorkeling experience incredible beautiful house reef steps away shore perfect beginners experienced snorkelers sea perfect kids swim calm shallow gentle waves making ideal spot little ones enjoy variety food impressive especially enjoyed wide selection dishes tasty well prepared cleanliness throughout hotel excellent making stay even comfortable special shout mido best animator made stay truly unforgettable energy enthusiasm overall fantastic vacation spot highly recommend return back,rooms quite old need renovation rooms wi fi available,"Some rooms are quite old and in need of renovation, and in some rooms, Wi-Fi is not available.","I had an amazing stay at this hotel. It was our second time and we were 17 guests. The snorkeling experience was incredible, with a beautiful house reef just steps away from the shore—perfect for both beginners and experienced snorkelers. The sea was perfect for kids to swim in—calm and shallow with gentle waves, making it an ideal spot for little ones to enjoy. The variety of food was impressive. I especially enjoyed the wide selection of dishes, all of which were tasty and well-prepared. The cleanliness throughout the hotel was excellent, making the stay even more comfortable.

A special shout-out to Mido, the best animator! He made our stay truly unforgettable with his energy and enthusiasm. Overall, a fantastic vacation spot—I highly recommend it and we will return back!",-1,"['house reef', 'snorkelers', 'spot highly recommend', 'experience incredible', 'stay hotel second']","['quite', 'fi', 'old', 'wi fi available', 'renovation rooms']",['hotel'],['old']
Hurghada,Tropitel Sahl Hasheesh,Liberté,Serbia,5 nights   ,September 2024,Solo traveler,Deluxe Room,"September 28, 2024",excellent food great rooms beautiful sea gym fantastic amazingly unobtrusive staff almost feels like egypt,however massage incredibly expensive unpleasant attempts staff bargain clients charge euros transfer one person actually got taxi always clear find certain services instance find tennis court promised ice cream without staff assistance could easily fixed,"However, the massage is incredibly expensive, and there are unpleasant attempts from the staff to bargain with the clients. They charge 35 euros for a transfer for one person, while I actually got a taxi for 8. It's not always clear where to find certain services... for instance, I couldn't find the tennis court or the promised ice cream without staff assistance. This could be easily fixed.","Excellent food, great rooms, and a very beautiful sea. The gym is fantastic! Amazingly unobtrusive staff, it almost feels like I’m not in Egypt.",-1,"['food great', 'sea', 'unobtrusive staff feels', 'like egypt', 'gym']","['staff assistance', 'taxi clear', 'euros transfer', 'incredibly expensive', 'massage']","['sea', 'food', 'staff']","['taxi', 'expensive', 'staff']"
Hurghada,Andalusia Blue Beach Hurghada,Jan,Spain,1 night   ,March 2024,Solo traveler,One-Bedroom Chalet,"March 23, 2024",staff attentive friendly helped problem waiting arrived midnight,breakfast little poor choose gave,The breakfast was a little poor and you couldn't choose what they gave you.,"The staff was very attentive and friendly, they helped me with any problem I had and they were waiting for me when I arrived at midnight.",-1,"['problem waiting arrived', 'attentive', 'friendly helped', 'midnight', 'staff']","['choose', 'little', 'gave', 'breakfast', 'poor couldn']",['staff'],['breakfast']
Aswan,Kato Dool Wellness Resort,Sunny,Canada,2 nights   ,December 2024,Couple,Wellness Room Nile View,"December 24, 2024",amazing property beautiful view property clean friendly people,location bit far reason transportation option provided affordable,Location is bit far but there’s a reason for it and transportation option are provided and very affordable.,"Amazing property, beautiful view from the property and very clean. Very friendly people.",-1,"['amazing', 'view property', 'property', 'clean friendly', 'friendly people']","['reason', 'option provided', 'far', 'location bit', 'affordable']","['clean', 'view']",['location']
