City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
Hilton Hurghada Plaza Hotel (Resort) (Egypt) Deals,Hilton Hurghada Plaza Hotel,Scored 8.7,8.8,8.9,9.2,9.2,8.5,9.0,8.7
"Davinci Beach Resort (Hotel), Hurghada (Egypt) Deals",Davinci Beach Resort,Scored 7.3,8.9,7.2,7.5,7.5,8.0,7.6,7.7
"Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View (Apartment), Hurghada (Egypt) Deals",Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View,Scored 9.5,9.6,9.6,9.4,9.6,9.8,9.7,10
"KaiSol Romance Resort Sahl Hasheesh - Adults Only (Resort), Hurghada (Egypt) Deals",KaiSol Romance Resort Sahl Hasheesh - Adults Only,Scored 9.1,9.4,9.2,9.4,9.5,8.9,9.3,8.3
"Sunrise Aqua Joy Resort (Resort), Hurghada (Egypt) Deals",Sunrise Aqua Joy Resort,Scored 9,9.4,9.0,9.1,9.1,9.0,9.3,8.4
"Lamera Hotel (Hotel), Hurghada (Egypt) Deals",Lamera Hotel,Scored 8.1,9.0,7.8,7.9,8.0,8.8,9.1,8.4
Beach Albatros Aqua Park - Hurghada (Resort) (Egypt) Deals,Beach Albatros Aqua Park - Hurghada,Scored 9.4,9.6,9.5,9.5,9.6,9.2,9.6,8.4
Pickalbatros Palace - Aqua Park Hurghada (Resort) (Egypt) Deals,Pickalbatros Palace - Aqua Park Hurghada,Scored 9.5,9.7,9.5,9.6,9.6,9.3,9.5,7.9
"Bel Air Azur Resort (Adults Only) (Resort), Hurghada (Egypt) Deals",Bel Air Azur Resort (Adults Only),Scored 8.6,9.0,8.5,8.8,8.8,8.8,9.1,No Rate
"Pyramisa Beach Resort Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Pyramisa Beach Resort Sahl Hasheesh,Scored 7.9,8.6,8.0,8.1,8.0,8.1,8.7,7.4
"Bellagio Beach Resort & Spa (Resort), Hurghada (Egypt) Deals",Bellagio Beach Resort & Spa,Scored 9.2,9.6,9.3,9.3,9.4,9.3,9.1,7.0
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) Deals",Shellghada Blue Beach,Scored 8.1,8.5,8.0,8.4,8.4,8.6,8.6,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) Deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,8.8,8.2,8.5,8.6,8.5,7.8,7.2
"Steigenberger Golf Resort El Gouna (Resort), Hurghada (Egypt) Deals",Steigenberger Golf Resort El Gouna,Scored 8.7,8.9,9.1,9.3,9.4,8.5,9.0,8.3
"Ancient Sands Golf Resort and Residences (Resort), Hurghada (Egypt) Deals",Ancient Sands Golf Resort and Residences,Scored 8.2,8.9,8.5,8.6,8.7,8.2,8.3,6.5
"Casa Cook El Gouna - Adults Only (Resort), Hurghada (Egypt) Deals",Casa Cook El Gouna - Adults Only,Scored 9.1,9.5,9.2,9.4,9.3,8.6,9.1,9.6
Pickalbatros White Beach Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros White Beach Resort - Hurghada,Scored 9.5,9.7,9.6,9.7,9.7,9.3,9.7,9.0
Pickalbatros Jungle Aqua Park - Neverland Hurghada (Resort) (Egypt) Deals,Pickalbatros Jungle Aqua Park - Neverland Hurghada,Scored 9.2,9.4,9.4,9.3,9.3,9.0,9.2,7.6
"Marina Square Hostel (Hostel), Hurghada (Egypt) Deals",Marina Square Hostel,Scored 9.2,9.5,9.1,9.4,9.3,9.4,9.6,9.2
"Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive (Resort), Hurghada (Egypt) Deals",Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive,Scored 9.5,9.7,9.6,9.8,9.8,9.4,9.6,9.3
Pickalbatros Aqua Park Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Park Resort - Hurghada,Scored 9,9.3,9.1,9.2,9.3,8.8,9.0,8.8
Pickalbatros Aqua Vista Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Vista Resort - Hurghada,Scored 9.2,9.4,9.4,9.5,9.5,9.2,9.1,8.9
"Tropitel Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Tropitel Sahl Hasheesh,Scored 8.6,9.0,8.9,9.1,9.1,8.4,8.6,7.8
"Pickalbatros Citadel Resort Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Pickalbatros Citadel Resort Sahl Hasheesh,Scored 9.2,9.3,9.3,9.4,9.4,9.1,9.3,8.7
"TK Suites (Condo Hotel), Hurghada (Egypt) Deals",TK Suites,Scored 8.6,9.1,8.6,9.0,8.9,9.0,8.1,8.7
"Serenity Alpha Beach - Ex Serenity Makadi Beach (Resort), Hurghada (Egypt) Deals",Serenity Alpha Beach - Ex Serenity Makadi Beach,Scored 9.2,9.5,9.3,9.5,9.5,9.3,9.0,7.5
"Pickalbatros Dana Beach Resort - Aqua Park (Resort), Hurghada (Egypt) Deals",Pickalbatros Dana Beach Resort - Aqua Park,Scored 9.3,9.4,9.4,9.5,9.4,8.9,9.4,8.4
Pickalbatros Aqua Blu Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Resort - Hurghada,Scored 9.1,9.3,9.3,9.4,9.4,9.0,9.1,8.9
"Palm Royale Resort - Soma Bay (Resort), Hurghada (Egypt) Deals",Palm Royale Resort - Soma Bay,Scored 8.7,9.2,8.7,8.9,8.8,8.7,9.1,8.8
Hilton Hurghada Plaza Hotel (Resort) (Egypt) Deals,Hilton Hurghada Plaza Hotel,Scored 8.7,8.8,8.9,9.2,9.2,8.5,9.0,8.7
"Davinci Beach Resort (Hotel), Hurghada (Egypt) Deals",Davinci Beach Resort,Scored 7.3,8.9,7.2,7.5,7.5,8.0,7.6,7.7
"KaiSol Romance Resort Sahl Hasheesh - Adults Only (Resort), Hurghada (Egypt) Deals",KaiSol Romance Resort Sahl Hasheesh - Adults Only,Scored 9.1,9.4,9.2,9.4,9.5,8.9,9.3,8.3
"Sunrise Aqua Joy Resort (Resort), Hurghada (Egypt) Deals",Sunrise Aqua Joy Resort,Scored 9,9.4,9.0,9.1,9.1,9.0,9.3,8.4
Beach Albatros Aqua Park - Hurghada (Resort) (Egypt) Deals,Beach Albatros Aqua Park - Hurghada,Scored 9.4,9.6,9.5,9.5,9.6,9.2,9.6,8.4
"Bel Air Azur Resort (Adults Only) (Resort), Hurghada (Egypt) Deals",Bel Air Azur Resort (Adults Only),Scored 8.6,9.0,8.5,8.8,8.8,8.8,9.1,No Rate
"Bellagio Beach Resort & Spa (Resort), Hurghada (Egypt) Deals",Bellagio Beach Resort & Spa,Scored 9.3,9.6,9.3,9.3,9.4,9.3,9.1,7.0
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) Deals",Shellghada Blue Beach,Scored 8.1,8.5,8.0,8.4,8.4,8.6,8.6,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) Deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,8.8,8.2,8.5,8.6,8.5,7.8,7.2
"Ancient Sands Golf Resort and Residences (Resort), Hurghada (Egypt) Deals",Ancient Sands Golf Resort and Residences,Scored 8.2,8.9,8.5,8.6,8.7,8.2,8.3,6.5
"Casa Cook El Gouna - Adults Only (Resort), Hurghada (Egypt) Deals",Casa Cook El Gouna - Adults Only,Scored 9.1,9.5,9.2,9.4,9.3,8.6,9.1,9.6
Pickalbatros White Beach Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros White Beach Resort - Hurghada,Scored 9.5,9.7,9.6,9.7,9.7,9.3,9.7,9.0
Pickalbatros Jungle Aqua Park - Neverland Hurghada (Resort) (Egypt) Deals,Pickalbatros Jungle Aqua Park - Neverland Hurghada,Scored 9.2,9.4,9.4,9.3,9.3,9.0,9.2,7.6
"Marina Square Hostel (Hostel), Hurghada (Egypt) Deals",Marina Square Hostel,Scored 9.2,9.5,9.1,9.4,9.3,9.4,9.6,9.2
"Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive (Resort), Hurghada (Egypt) Deals",Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive,Scored 9.5,9.7,9.6,9.8,9.8,9.4,9.6,9.3
Pickalbatros Aqua Park Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Park Resort - Hurghada,Scored 9,9.3,9.1,9.2,9.3,8.8,9.0,8.8
Pickalbatros Aqua Vista Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Vista Resort - Hurghada,Scored 9.2,9.4,9.4,9.5,9.5,9.2,9.1,8.9
"Tropitel Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Tropitel Sahl Hasheesh,Scored 8.6,9.0,8.9,9.1,9.1,8.4,8.6,7.8
"Pickalbatros Citadel Resort Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Pickalbatros Citadel Resort Sahl Hasheesh,Scored 9.2,9.3,9.3,9.4,9.4,9.1,9.3,8.7
"TK Suites (Condo Hotel), Hurghada (Egypt) Deals",TK Suites,Scored 8.6,9.1,8.6,9.0,8.9,9.0,8.1,8.7
"Serenity Alpha Beach - Ex Serenity Makadi Beach (Resort), Hurghada (Egypt) Deals",Serenity Alpha Beach - Ex Serenity Makadi Beach,Scored 9.2,9.5,9.3,9.5,9.5,9.3,9.0,7.5
"Pickalbatros Dana Beach Resort - Aqua Park (Resort), Hurghada (Egypt) Deals",Pickalbatros Dana Beach Resort - Aqua Park,Scored 9.3,9.4,9.4,9.5,9.4,8.9,9.4,8.4
Pickalbatros Aqua Blu Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Resort - Hurghada,Scored 9.1,9.3,9.3,9.4,9.4,9.0,9.1,8.9
"Palm Royale Resort - Soma Bay (Resort), Hurghada (Egypt) Deals",Palm Royale Resort - Soma Bay,Scored 8.7,9.2,8.7,8.9,8.8,8.7,9.1,8.8
Hilton Hurghada Plaza Hotel (Resort) (Egypt) Deals,Hilton Hurghada Plaza Hotel,Scored 8.7,8.8,8.9,9.2,9.2,8.5,9.0,8.7
"Davinci Beach Resort (Hotel), Hurghada (Egypt) Deals",Davinci Beach Resort,Scored 7.3,8.9,7.2,7.5,7.5,8.0,7.6,7.7
"Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View (Apartment), Hurghada (Egypt) Deals",Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View,Scored 9.5,9.6,9.6,9.4,9.6,9.8,9.7,10
"KaiSol Romance Resort Sahl Hasheesh - Adults Only (Resort), Hurghada (Egypt) Deals",KaiSol Romance Resort Sahl Hasheesh - Adults Only,Scored 9.1,9.4,9.2,9.4,9.5,8.9,9.3,8.3
"Sunrise Aqua Joy Resort (Resort), Hurghada (Egypt) Deals",Sunrise Aqua Joy Resort,Scored 9,9.4,9.0,9.1,9.1,9.0,9.3,8.4
"Steigenberger Golf Resort El Gouna (Resort), Hurghada (Egypt) Deals",Steigenberger Golf Resort El Gouna,Scored 8.7,8.9,9.1,9.3,9.4,8.5,9.0,8.3
"Lamera Hotel (Hotel), Hurghada (Egypt) Deals",Lamera Hotel,Scored 8.1,9.0,7.8,7.9,8.0,8.8,9.1,8.4
"Bellagio Beach Resort & Spa (Resort), Hurghada (Egypt) Deals",Bellagio Beach Resort & Spa,Scored 9.3,9.6,9.3,9.3,9.4,9.3,9.1,7.0
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) Deals",Shellghada Blue Beach,Scored 8.1,8.5,8.0,8.4,8.4,8.6,8.6,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) Deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,8.8,8.3,8.5,8.6,8.5,7.8,7.2
"Steigenberger Golf Resort El Gouna (Resort), Hurghada (Egypt) Deals",Steigenberger Golf Resort El Gouna,Scored 8.7,8.9,9.1,9.3,9.4,8.5,9.0,8.3
"Ancient Sands Golf Resort and Residences (Resort), Hurghada (Egypt) Deals",Ancient Sands Golf Resort and Residences,Scored 8.2,8.9,8.5,8.6,8.7,8.2,8.3,6.5
"Casa Cook El Gouna - Adults Only (Resort), Hurghada (Egypt) Deals",Casa Cook El Gouna - Adults Only,Scored 9.1,9.5,9.2,9.4,9.3,8.6,9.1,9.6
Pickalbatros White Beach Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros White Beach Resort - Hurghada,Scored 9.5,9.7,9.6,9.7,9.7,9.3,9.7,9.0
Pickalbatros Jungle Aqua Park - Neverland Hurghada (Resort) (Egypt) Deals,Pickalbatros Jungle Aqua Park - Neverland Hurghada,Scored 9.2,9.4,9.4,9.3,9.3,9.0,9.2,7.6
"Marina Square Hostel (Hostel), Hurghada (Egypt) Deals",Marina Square Hostel,Scored 9.2,9.5,9.1,9.4,9.3,9.4,9.6,9.2
"Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive (Resort), Hurghada (Egypt) Deals",Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive,Scored 9.5,9.7,9.6,9.8,9.8,9.4,9.6,9.3
Pickalbatros Aqua Park Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Park Resort - Hurghada,Scored 9,9.3,9.1,9.2,9.3,8.8,9.0,8.8
Pickalbatros Aqua Vista Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Vista Resort - Hurghada,Scored 9.2,9.4,9.4,9.5,9.5,9.2,9.1,8.9
"Tropitel Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Tropitel Sahl Hasheesh,Scored 8.6,9.0,8.9,9.1,9.1,8.4,8.6,7.8
"Pickalbatros Citadel Resort Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Pickalbatros Citadel Resort Sahl Hasheesh,Scored 9.2,9.3,9.3,9.4,9.4,9.1,9.3,8.7
"Serenity Alpha Beach - Ex Serenity Makadi Beach (Resort), Hurghada (Egypt) Deals",Serenity Alpha Beach - Ex Serenity Makadi Beach,Scored 9.2,9.5,9.3,9.5,9.5,9.3,9.0,7.5
"Pickalbatros Dana Beach Resort - Aqua Park (Resort), Hurghada (Egypt) Deals",Pickalbatros Dana Beach Resort - Aqua Park,Scored 9.3,9.4,9.4,9.5,9.4,8.9,9.4,8.4
Pickalbatros Aqua Blu Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Resort - Hurghada,Scored 9.1,9.3,9.3,9.4,9.4,9.0,9.1,8.9
"Palm Royale Resort - Soma Bay (Resort), Hurghada (Egypt) Deals",Palm Royale Resort - Soma Bay,Scored 8.7,9.2,8.7,8.9,8.8,8.7,9.1,8.8
Hilton Hurghada Plaza Hotel (Resort) (Egypt) Deals,Hilton Hurghada Plaza Hotel,Scored 8.7,8.8,8.9,9.2,9.2,8.5,9.0,8.7
"Davinci Beach Resort (Hotel), Hurghada (Egypt) Deals",Davinci Beach Resort,Scored 7.3,8.9,7.2,7.5,7.5,8.0,7.6,7.7
"Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View (Apartment), Hurghada (Egypt) Deals",Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View,Scored 9.5,9.6,9.6,9.4,9.6,9.8,9.7,10
"KaiSol Romance Resort Sahl Hasheesh - Adults Only (Resort), Hurghada (Egypt) Deals",KaiSol Romance Resort Sahl Hasheesh - Adults Only,Scored 9.1,9.4,9.2,9.4,9.5,8.9,9.3,8.3
"Sunrise Aqua Joy Resort (Resort), Hurghada (Egypt) Deals",Sunrise Aqua Joy Resort,Scored 9,9.4,9.0,9.1,9.1,9.0,9.3,8.4
"Lamera Hotel (Hotel), Hurghada (Egypt) Deals",Lamera Hotel,Scored 8.1,9.0,7.8,7.9,8.0,8.8,9.1,8.4
Beach Albatros Aqua Park - Hurghada (Resort) (Egypt) Deals,Beach Albatros Aqua Park - Hurghada,Scored 9.4,9.6,9.5,9.5,9.6,9.2,9.6,8.4
"Cleopatra Luxury Resort Sharm - Adults Only 16 years plus (Hotel), Sharm El Sheikh (Egypt) Deals",Cleopatra Luxury Resort Sharm - Adults Only 16 years plus,Scored 9.4,9.5,9.4,9.5,9.6,9.3,9.4,7.9
"Verginia Sharm Resort & Aqua Park (Resort), Sharm El Sheikh (Egypt) Deals",Verginia Sharm Resort & Aqua Park,Scored 9,9.4,9.0,9.0,9.0,9.1,9.0,5.7
"Luxury Sharm Hills Resort (Hotel), Sharm El Sheikh (Egypt) Deals",Luxury Sharm Hills Resort,Scored 10,10,10,10,10,10,10,No Rate
"Sinai Old Spices B&B (Bed and Breakfast), Sharm El Sheikh (Egypt) Deals",Sinai Old Spices B&B,Scored 8.4,9.1,8.2,8.2,8.7,8.7,7.3,9.0
"Serenity Lodge (Bed and Breakfast), Sharm El Sheikh (Egypt) Deals",Serenity Lodge,Scored 8,9.1,7.8,7.9,7.9,8.6,7.8,7.3
"Pickalbatros Palace Sharm - ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Palace Sharm - ""Aqua Park""",Scored 9.4,9.6,9.5,9.7,9.7,9.3,9.5,8.2
"Sharks Bay Oasis Apartment (Apartment), Sharm El Sheikh (Egypt) Deals",Sharks Bay Oasis Apartment,Scored 8.8,9.0,9.0,8.5,9.5,8.5,9.0,No Rate
"Four Seasons Resort Sharm El Sheikh, Residential Private Villa & Chalet - Egypt (Resort) (Egypt) Deals","Four Seasons Resort Sharm El Sheikh, Residential Private Villa & Chalet - Egypt",Scored 7.8,8.2,8.1,8.3,7.8,7.6,8.8,7.5
"Blend in Nature Camp (Campground), Sharm El Sheikh (Egypt) Deals",Blend in Nature Camp,Scored 9.2,8.7,7.5,7.5,7.5,7.7,10,No Rate
"Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive,Scored 9.5,9.6,9.6,9.7,9.7,9.4,9.5,9.4
"Pickalbatros Royal Grand Sharm - Adults Friendly 16 Years Plus (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Royal Grand Sharm - Adults Friendly 16 Years Plus,Scored 9.5,9.7,9.5,9.6,9.7,9.5,9.6,8.8
"Pickalbatros Royal Moderna Sharm ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Royal Moderna Sharm ""Aqua Park""",Scored 9.3,9.5,9.4,9.5,9.4,9.2,9.3,8.0
"Xperience Kiroseiz AquaPark Premier-Naama Bay (Resort), Sharm El Sheikh (Egypt) Deals",Xperience Kiroseiz AquaPark Premier-Naama Bay,Scored 7.8,8.3,8.1,8.0,8.0,8.0,8.3,8.1
"V Hotel Sharm El Shiekh (Resort), Sharm El Sheikh (Egypt) Deals",V Hotel Sharm El Shiekh,Scored 8.7,9.0,8.8,8.8,8.8,8.8,9.0,7.9
Pickalbatros Aqua Blu Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Sharm El Sheikh,Scored 9.4,9.6,9.5,9.5,9.5,9.3,9.4,8.5
"Sentido Reef Oasis Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sentido Reef Oasis Aqua Park Resort,Scored 9.3,9.6,9.4,9.4,9.4,9.3,9.6,7.8
"Amphoras Beach - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Beach - Ultra All Inclusive,Scored 8.2,8.5,8.1,8.2,8.5,8.6,8.8,6.3
"Sunrise Diamond Beach Resort -Grand Select (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Diamond Beach Resort -Grand Select,Scored 9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.0
"Reef Oasis Beach Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Beach Aqua Park Resort,Scored 9.1,9.2,9.1,9.1,9.2,9.0,9.6,7.1
"Sharm and Charme at Sheraton Resort (Villa), Sharm El Sheikh (Egypt) Deals",Sharm and Charme at Sheraton Resort,Scored 9.6,9.9,9.1,9.6,9.7,9.1,9.1,No Rate
"Sunrise Arabian Beach Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Arabian Beach Resort,Scored 9.5,9.6,9.6,9.6,9.6,9.3,9.5,8.7
"Amphoras Blu (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Blu,Scored 8.3,8.9,8.2,8.3,8.3,8.7,8.9,9.0
"Jaz Fayrouz (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fayrouz,Scored 8.8,9.2,8.7,9.0,9.0,8.8,9.5,No Rate
"Grand Oasis Resort (Resort), Sharm El Sheikh (Egypt) Deals",Grand Oasis Resort,Scored 8.7,9.1,8.5,8.7,8.7,8.9,9.1,No Rate
"Jaz Fanara Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fanara Resort,Scored 8.9,9.3,8.9,9.1,9.1,9.0,9.4,6.8
"Pickalbatros Palace Sharm - ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Palace Sharm - ""Aqua Park""",Scored 9.4,9.6,9.5,9.7,9.7,9.3,9.5,8.2
"Cleopatra Luxury Resort Sharm - Adults Only 16 years plus (Hotel), Sharm El Sheikh (Egypt) Deals",Cleopatra Luxury Resort Sharm - Adults Only 16 years plus,Scored 9.4,9.5,9.4,9.5,9.6,9.3,9.4,7.9
"Sunterra Resort (Apartment), Sharm El Sheikh (Egypt) Deals",Sunterra Resort,Scored 8,7.5,7.5,7.5,7.5,10,7.5,No Rate
"Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive,Scored 9.5,9.6,9.6,9.7,9.7,9.4,9.5,9.4
"Pickalbatros Royal Moderna Sharm ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Royal Moderna Sharm ""Aqua Park""",Scored 9.3,9.5,9.4,9.5,9.4,9.2,9.3,8.0
"Verginia Sharm Resort & Aqua Park (Resort), Sharm El Sheikh (Egypt) Deals",Verginia Sharm Resort & Aqua Park,Scored 9,9.4,9.0,9.0,9.0,9.1,9.0,5.7
"V Hotel Sharm El Shiekh (Resort), Sharm El Sheikh (Egypt) Deals",V Hotel Sharm El Shiekh,Scored 8.7,9.0,8.8,8.8,8.8,8.8,9.0,7.9
Pickalbatros Aqua Blu Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Sharm El Sheikh,Scored 9.4,9.6,9.5,9.5,9.5,9.3,9.4,8.5
"Sentido Reef Oasis Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sentido Reef Oasis Aqua Park Resort,Scored 9.3,9.6,9.4,9.4,9.4,9.3,9.6,7.8
"Amphoras Beach - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Beach - Ultra All Inclusive,Scored 8.2,8.5,8.1,8.2,8.5,8.6,8.8,6.3
"Sunrise Diamond Beach Resort -Grand Select (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Diamond Beach Resort -Grand Select,Scored 9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.0
"Luxury Sharm Hills Resort (Hotel), Sharm El Sheikh (Egypt) Deals",Luxury Sharm Hills Resort,Scored 10,10,10,10,10,10,10,No Rate
"Reef Oasis Beach Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Beach Aqua Park Resort,Scored 9.1,9.2,9.1,9.1,9.2,9.0,9.6,7.1
"Sunrise Arabian Beach Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Arabian Beach Resort,Scored 9.5,9.6,9.6,9.6,9.6,9.3,9.5,8.7
"Amphoras Blu (Resort), Sharm El Sheikh (Egypt) Deals",Amphoras Blu,Scored 8.3,8.9,8.2,8.3,8.3,8.7,8.9,9.0
"Grand Oasis Resort (Resort), Sharm El Sheikh (Egypt) Deals",Grand Oasis Resort,Scored 8.7,9.1,8.5,8.7,8.7,8.9,9.1,No Rate
"Jaz Fanara Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fanara Resort,Scored 8.9,9.3,8.9,9.1,9.1,9.0,9.4,6.8
"Rixos Premium Seagate - Ultra All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Rixos Premium Seagate - Ultra All Inclusive,Scored 9,9.2,9.3,9.3,9.2,8.5,9.2,7.6
Sierra Sharm El Sheikh (Resort) (Egypt) Deals,Sierra Sharm El Sheikh,Scored 9.4,9.6,9.5,9.6,9.6,9.4,9.5,9.2
Pickalbatros Aqua Park Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Park Sharm El Sheikh,Scored 9.1,9.4,9.3,9.3,9.3,8.9,9.1,8.7
"Reef Oasis Blue Bay Resort & Spa (Resort), Sharm El Sheikh (Egypt) Deals",Reef Oasis Blue Bay Resort & Spa,Scored 8.9,9.0,9.0,9.1,9.1,8.9,9.3,7.9
Renaissance Sharm El Sheikh Golden View Beach Resort (Resort) (Egypt) Deals,Renaissance Sharm El Sheikh Golden View Beach Resort,Scored 8.5,8.9,8.7,9.0,9.0,8.4,8.9,9.7
Savoy Sharm El Sheikh (Resort) (Egypt) Deals,Savoy Sharm El Sheikh,Scored 8.7,9.0,8.9,9.0,9.0,8.5,9.3,No Rate
"Xperience Kiroseiz Parkland (Resort), Sharm El Sheikh (Egypt) Deals",Xperience Kiroseiz Parkland,Scored 7.9,8.3,8.3,8.1,8.1,8.0,8.4,7.9
Four Seasons Resort Sharm El Sheikh (Resort) (Egypt) Deals,Four Seasons Resort Sharm El Sheikh,Scored 9.3,9.5,9.5,9.5,9.7,8.6,9.6,8.8
"Pickalbatros Palace Sharm - ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Palace Sharm - ""Aqua Park""",Scored 9.4,9.6,9.5,9.7,9.7,9.3,9.5,8.2
"Cleopatra Luxury Resort Sharm - Adults Only 16 years plus (Hotel), Sharm El Sheikh (Egypt) Deals",Cleopatra Luxury Resort Sharm - Adults Only 16 years plus,Scored 9.4,9.5,9.4,9.6,9.6,9.3,9.4,7.9
"Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive (Resort), Sharm El Sheikh (Egypt) Deals",Pickalbatros Laguna Vista Aqua Park - 24 HRS All Inclusive,Scored 9.5,9.6,9.6,9.7,9.7,9.4,9.5,9.4
"Pickalbatros Royal Moderna Sharm ""Aqua Park"" (Resort), Sharm El Sheikh (Egypt) Deals","Pickalbatros Royal Moderna Sharm ""Aqua Park""",Scored 9.3,9.5,9.4,9.5,9.4,9.2,9.3,8.0
"Verginia Sharm Resort & Aqua Park (Resort), Sharm El Sheikh (Egypt) Deals",Verginia Sharm Resort & Aqua Park,Scored 9,9.4,9.0,9.0,9.0,9.1,9.0,5.7
"V Hotel Sharm El Shiekh (Resort), Sharm El Sheikh (Egypt) Deals",V Hotel Sharm El Shiekh,Scored 8.7,9.0,8.8,8.8,8.8,8.8,9.0,7.9
Pickalbatros Aqua Blu Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Sharm El Sheikh,Scored 9.4,9.6,9.5,9.5,9.5,9.3,9.4,8.5
"Sentido Reef Oasis Aqua Park Resort (Resort), Sharm El Sheikh (Egypt) Deals",Sentido Reef Oasis Aqua Park Resort,Scored 9.3,9.6,9.4,9.4,9.4,9.3,9.6,7.8
